C0002881	RHD
C4014656	RAF1
C0206762	TP63
C4020876	STT3A
C4280614	TBL2
C1837402	ZNF592
C0265554	BTRC
C0341706	AMT
C0162119	CRIPT
C0026266	PDSS1
C0013902	GATA1
C1846242	ACSL4
C0221629	VCP
C4048273	RS1
C3550546	CDKN1C
C4280495	KCNH1
C0266464	PEX12
C0728829	CTDP1
C0086543	POMT2
C0037052	POMC
C0685840	FGF17
C4280538	GTF2I
C0685409	ECEL1
C1849295	NPAP1
C0024141	PEPD
C0233715	IGF1R
C0917816	HBA2
C0037650	IFNA2
C0021390	IBD2
C0856863	FLVCR1
C1860834	ITGA7
C4021107	FGF17
C1861373	GLI3
C3806467	CHAT
C0027627	AGTR2
C0038002	GPC4
C1835581	APC2
C0541794	AIFM1
C0240953	LMNA
C0262630	CREBBP
C1854882	TCF4
C4021906	COL2A1
C0035229	COX2
C0010417	PEX10
C4021551	HS6ST1
C1855544	B3GAT3
C0040053	SELP
C1859717	RAPSN
C0022658	ANXA1
C1857130	BAZ1B
C0023893	EPCAM
C1857121	SCN8A
C0034012	RAB3GAP2
C0010038	STS
C0017638	STMN1
C1855020	NDUFS6
C0086438	MAN2B1
C0023467	JAK2
C1850530	FHL1
C0521525	MGAT2
C0013592	MBTPS2
C0003864	TCF3
C0085611	EMD
C0028738	PIK3R5
C1844383	STIM1
C0553723	LMNA
C0009917	LAMA2
C4020884	PAK3
C1849367	TRIM37
C1866862	SLC7A9
C1860128	SLC39A4
C1835763	ROR2
C1853241	SLC26A2
C0349588	ARNT2
C1269683	BMP7
C0020458	FOXP1
C0000737	SDHD
C0026838	NDUFB9
C1866141	MPZ
C1837108	MKRN3-AS1
C0427068	ZFYVE26
C1263846	TRNQ
C2700617	SLC1A4
C0149651	ENG
C1858266	B2M
C1864580	SARS2
C0079294	COL7A1
C0376618	NOS2
C0024809	CAMK2B
C4021826	OCRL
C3281125	JAK2
C0426818	CHRNA1
C4280538	CREBBP
C4023911	NR5A1
C0154671	PDHA1
C4280321	MAN2B1
C4020874	PMP22
C4072823	ADSL
C0162298	IDH1
C4020873	UCHL1
C0231246	PRF1
C0007758	MYO7A
C0431886	CHST14
C2674608	REV3L
C1865017	SEC23A
C0263537	KRT5
C0423903	VRK1
C0021364	ELOVL2
C0029408	CLIC4
C0152031	FGB
C4021418	FGFR3
C4280625	HMX1
C1691228	FAT4
C0423250	SC5D
C1857130	SEC24D
C0011570	CDKN2A
C4025751	RMRP
C0015934	PHGDH
C0032285	IL13
C4020899	GNRH1
C4225326	SQSTM1
C0009714	PKHD1
C0027746	CTNNB1
C1832324	RAG2
C0036572	PREPL
C0235659	NELFA
C0376175	BIN1
C1864897	ALDH6A1
C0338656	PTPN22
C0240295	CREBBP
C1842680	ARVCF
C1860844	KRAS
C1167918	ECHS1
C1861172	TNF
C0151526	CYP11A1
C0007137	CCND1
C0023449	TAL1
C1261473	GSTP1
C0017495	PRNP
C4072820	PIGA
C0029464	WRN
C0175754	RAB3GAP1
C1837249	PEX10
C1848178	WWOX
C4020899	EIF2B5
C4020875	DPYD
C0023186	SLC17A6
C0279628	ELMO1
C0086132	SYNDIG1
C1864985	SLC6A3
C0042076	WWOX
C0152013	KRAS
C2681923	RP2
C0949804	CCL4
C4020899	PRSS1
C0013421	FOXRED1
C0266525	HMX1
C0339789	GNS
C0549473	KCNJ10
C0085583	GCDH
C1510497	PRPF31
C2677650	ISCU
C0557874	SLC1A4
C0406502	TELAB1
C0038356	GSTP1
C0026838	L1CAM
C0155120	JAG1
C1843367	GATA6
C0036341	ADRB3
C0015967	FSHB
C0423903	KIAA0556
C3806283	OCRL
C4083050	POLR1D
C0231246	GNPAT
C4280583	FLNA
C0026633	PCSK5
C0026838	GBA
C0423250	NAGA
C1849121	PAX3
C0410264	LARGE1
C0020538	GSTA5
C0038379	RERE
C0086543	POMT1
C2315100	COL6A2
C0240896	SALL1
C0026034	EIF4A3
C3553943	STK4
C0025362	LRAT
C0028738	BRAF
C0023473	WT1
C0887833	HSPA1B
C4020899	LRIG2
C0023012	ADK
C0234958	NDUFS4
C1167713	TMEM216
C1843367	PRPF4
C0037932	COL5A1
C0023893	DEPDC7
C1860335	NF1
C1827524	IGF1R
C0018818	CHST3
C0270948	DMPK
C0024232	MSLN
C0162819	F2
C0010520	SLC25A3
C0235095	PRPH2
C0020538	FMO3
C1843367	HSPG2
C4255213	SETD2
C0266196	TFAP2A
C0026827	SLC25A3
C0270948	UNC13A
C0232466	ORC4
C4280643	SEC23A
C0019187	TNF
C1839764	NSD2
C4020888	FOXC2
C3150715	TTC8
C4072833	CHRND
C0011849	CYBB
C0019189	GPX1
C1849121	GTF2I
C1843367	TRH
C1843367	SHH
C4020899	ACACA
C4024907	ATP7B
C0423110	CUL4B
C1970200	ST3GAL3
C0271215	FLVCR1
C4020876	PRKAR1A
C0023467	FHL2
C4020855	VRK1
C0037932	GDF5
C0022658	VPS33B
C4280651	FZD2
C0028949	SNRPN
C1458155	RIBC2
C1866231	PIK3CA
C0026827	ACOX1
C1866862	GRHPR
C4280642	LRP6
C0005586	SLC25A4
C2051831	HPGD
C0431478	SIX6
C0399526	FLII
C0011881	TGFB1
C0237326	DDOST
C0033790	SOD1
C0020615	KCNJ11
C0877359	TNFRSF13B
C0235946	DHFR
C1855038	FOXRED1
C3150755	TRPV4
C1857482	LFNG
C0151744	NR4A1
C0019158	ENPP2
C0262374	GRIP1
C0034069	IL1B
C1458155	DTX3
C0947912	CASR
C1839739	NAGA
C0037772	AMPD2
C0427068	RTN2
C1844734	EFNB1
C0700635	ACP5
C1837463	ATR
C0011581	TGFBR2
C0036508	GP1BB
C1861403	SGCA
C0035229	PIP5K1C
C0520459	ALDH2
C0175754	VAX1
C0038220	FIG4
C1855781	JAK3
C0026034	SATB2
C0015672	TGFBR2
C0020538	TRNQ
C0268307	TNPO3
C0022680	OFD1
C0557874	POMT1
C1837760	FGFR3
C2674608	APC2
C1855285	KIF11
C0020255	IFT122
C4020875	BRAF
C1862425	GATA6
C0005744	RFC2
C1867446	ERF
C1864897	GFER
C4021390	CHRNG
C0029422	KDR
C0017181	VWF
C0151576	COQ2
C1838869	DYSF
C0206624	PCNA
C0241074	FGFR2
C4280808	IKBKG
C0266625	ANK1
C1832942	SMAD4
C3809288	TNNI3
C0231246	FAH
C0022638	BCKDHB
C0085584	COX15
C2315100	SNX10
C1859236	NPC1
C0042798	PEX7
C4277682	SOD3
C0687149	FSHR
C1833752	USP8
C0007137	GPX1
C4020899	TRIM32
C0026351	EBP
C1843367	DAG1
C0006663	PYCARD
C1850674	CFL2
C0013362	GOSR2
C0003873	CCR6
C3697248	EDA
C1847879	SLC9A6
C0025990	LZTR1
C4021528	LMNA
C4020759	DYNC2LI1
C0266617	GHR
C0231246	EGFR
C1843367	LARGE1
C0544886	MUTYH
C0423903	PEX12
C0151526	PEX14
C4280651	SATB2
C0023012	AGA
C0026827	PMS1
C0042345	MGP
C1843859	POLG
C1839532	OTC
C1843367	SBDS
C0035305	PTEN
C0024421	LAMA2
C0011860	IGF2BP2
C0001973	GRIK1
C3179508	FGFR1
C0376634	TGFBR2
C1850493	NDUFV2
C4018871	KYNU
C2930930	MTTP
C1864897	HMGA2
C3276539	FBLN5
C0235833	KIAA0586
C0432040	BMPR1B
C0685409	TPM2
C0029453	B4GALT7
C0005138	IL6
C4020897	FOXF1
C1834569	ASAH1
C0151639	MEN1
C0878682	CP
C0237326	RFC2
C0003706	TGFBR2
C0015934	BLM
C0236736	BCHE
C0004114	MMP9
C0240543	OBSL1
C4021776	SRD5A2
C0242231	HRH2
C0546969	FGFRL1
C0034880	BAZ1B
C1855665	GLB1
C0021655	PAX4
C0917816	SMARCE1
C1864964	DFNB47
C4280635	SYNJ1
C0476397	RLBP1
C0018784	ARHGDIA
C0085576	HBG1
C0086438	DNMT3B
C0151632	MVK
C0162674	TRNL1
C0007758	MLC1
C0011860	SOD2
C0948480	MMP3
C0423109	ADAMTSL2
C0017636	IL2
C0026010	POMT2
C2315100	NDUFAF4
C0019322	TG
C0023893	CXCL12
C0206762	HOXD13
C0376634	EP300
C0025990	CENPF
C1860450	MYH3
C0149931	SMARCB1
C0521525	GPC4
C1847584	HARS
C0018055	HSD17B4
C1846009	CDKN1C
C0232466	FARS2
C1836550	PEX13
C4280615	TP63
C0009917	B4GALT7
C0149645	ARSB
C1847584	GBE1
C0033774	MVK
C0522055	SOS2
C0423867	SPINK5
C0431904	TMEM216
C0035229	CSF2RB
C0013595	NSUN2
C4020884	GRN
C1832390	FAT4
C3714896	RAB33B
C3151228	MERTK
C4277682	HADHA
C0456909	HEXB
C0398593	CEBPE
C0005744	DNMT3A
C0855329	SOS1
C0876973	CYBB
C4020899	ALDH18A1
C0423903	ZBTB24
C0221765	ASAH1
C3805574	GNAS
C1849039	MATN3
C1837385	LMNA
C1458155	OCLN
C0746926	ECM1
C0332606	GTF2IRD1
C0003492	RAP1B
C4025846	CTSH
C0025500	FGF2
C0036341	FADS1
C0018991	SLC1A3
C0266610	SIX1
C4083076	EIF2B4
C0027962	KRAS
C1856963	TRPS1
C0037932	KCNJ6
C0035313	B4GAT1
C0748540	CAV1
C2676676	PPM1D
C1859778	PYGL
C0349588	PEX13
C4020885	CNGA1
C0234958	PLP1
C4025569	DUSP6
C0029408	IL1B
C0036341	KLF12
C0521525	YWHAE
C1510497	GJB3
C1853193	TMC6
C0032285	CCL2
C0457013	EVC2
C0152421	EZH2
C0020302	PAX6
C0015672	PMS2
C0011881	VDAC2
C0003706	COL2A1
C0021051	SIN3A
C0020757	KRT1
C0154671	SLC17A5
C0392777	TNFRSF1B
C1836047	HIRA
C0027627	CSTA
C3150797	SIAE
C0030469	WIPF1
C0037286	HIF1A
C0855742	WIPF1
C0009375	TNFRSF9
C0036341	MIR107
C0023903	CSF2
C0344559	PAX6
C4280613	PTPN2
C4020899	CLCN1
C0022116	IL6
C1956257	WASHC5
C4255213	SUFU
C0085298	TGFB3
C0917798	TRNF
C0425913	WNT4
C0282612	AR
C0085605	NDUFV2
C0036341	GRIA3
C0541794	COL2A1
C0231528	LPIN1
C1866862	RYR1
C0030293	GATA6
C1850493	NTNG1
C0009375	AXIN2
C0266362	SOX9
C0003873	CRP
C0032927	MAP2K7
C0018772	ZBTB20
C0008925	CHRND
C0231807	LOX
C0024796	FBN1
C0025362	ZNF41
C0020429	CNR2
C1836150	ELN
C0677776	PTEN
C0037932	FBLN5
C1960539	CYP19A1
C1384666	MIR96
C0747078	ESR1
C4021560	NHS
C0040822	CYP2D6
C0021051	IKBKG
C3714756	DNM1
C1836550	XPA
C0019087	F7
C0796004	KDM6A
C0037932	COMP
C0347959	TPK1
C0347959	NDUFA1
C0020479	APOE
C0221260	KRT5
C1849367	KCNJ8
C0020476	CETP
C0332563	IL17RA
C1865864	ALS5
C0004352	PTEN
C0032461	FH
C0001973	AR
C0027092	TYR
C1522137	ALMS1
C1864711	DPM1
C3714756	BCAP31
C4024735	POR
C0030297	TFPI2
C1859392	APOE
C3806301	COL7A1
C1855895	GBA
C1845847	SMARCE1
C1842587	GAN
C0041974	ITGA6
C1864668	POLG2
C3550693	PEX12
C1846460	TBCE
C3553450	LIAS
C1862425	LMNA
C0231528	ENO3
C0041974	PLEC
C0376618	CPS1
C4020864	ATRX
C0578038	KCNE5
C0014544	MLC1
C0009375	TYMS
C0014306	POU1F1
C4072822	PEX5
C0744641	GATA1
C1836330	AP1S1
C0026010	RARB
C0001973	NTSR1
C0240635	CLP1
C0853697	SBDS
C0745730	RNR1
C3714581	GPC3
C0005586	DOK5
C0087012	ATXN7
C0151529	NF1
C1857130	CLIP2
C0423903	HBA1
C0042341	PTEN
C0266617	FLNA
C0399526	FOXG1
C0016202	B4GALT7
C1384666	TRNL1
C0426886	NR2F1
C0023895	ENO3
C4020887	ITGB6
C0020255	FLNA
C4280639	MAP3K7
C0588008	DRD2
C3495559	NR4A2
C0013261	SALL4
C0034012	ENTPD1
C0240340	LIMK1
C4020899	CNGA3
C0033687	FAS
C1840077	IER3IP1
C0029456	COL1A2
C0239594	GNAS
C0027540	NOS2
